,magnitude,cdi,mmi,sig,nst,dmin,gap,magType,depth,alert
137,6.7,0,3,691,0,7.527,17.0,mww,13.0,green
138,6.7,8,8,1600,0,0.173,22.0,mww,63.0,orange
139,6.6,5,4,671,0,7.816,18.0,mww,35.0,green
140,6.6,2,4,672,0,1.596,33.0,mww,43.22,green
141,6.8,3,3,715,0,1.181,16.0,mww,570.5,green
142,7.0,5,5,803,0,1.769,21.0,mww,60.22,green
143,7.3,3,7,822,0,4.125,23.0,mww,16.56,green
144,7.1,0,5,776,0,7.043,20.0,mww,133.0,green
145,6.6,0,4,670,0,2.68,31.0,mww,10.0,green
146,7.5,3,6,871,0,2.404,18.0,mww,10.0,green
147,7.1,8,8,1790,0,0.0,0.0,mw,46.7,orange
148,6.8,0,3,711,0,2.879,39.0,mww,540.0,green
149,6.7,3,4,693,0,7.85,19.0,mww,10.0,green
150,6.8,8,7,954,0,2.268,15.0,mww,14.0,yellow
151,6.5,2,4,655,0,1.692,68.0,mww,10.0,green
152,6.8,4,4,776,0,1.505,36.0,mww,10.0,green
153,6.5,3,4,669,0,1.611,63.0,mww,10.0,green
154,6.5,0,4,650,0,2.11,22.0,mww,17.0,green
155,6.7,0,3,691,0,2.705,17.0,mww,461.0,green
156,6.5,0,4,650,0,3.924,14.0,mww,20.0,green
157,7.0,6,6,758,0,1.778,18.0,mww,39.0,green
158,6.7,2,3,691,0,3.744,23.0,mww,550.0,green
159,7.5,8,8,2026,0,1.649,13.0,mww,20.0,red
160,6.5,4,1,651,0,5.14,18.0,mww,576.0,green
161,6.9,3,4,735,0,2.785,18.0,mww,115.0,green
162,6.5,3,6,651,0,1.638,25.0,mww,68.0,green
163,7.9,7,4,979,0,1.431,12.0,mww,671.0,green
164,6.6,8,9,1075,0,1.13,32.0,mww,35.0,orange
165,7.1,2,5,776,0,2.549,23.0,mww,21.44,green
166,7.1,0,3,776,0,3.77,12.0,mww,630.0,green
167,6.5,6,7,652,0,4.797,10.0,mww,9.0,green
168,7.3,8,6,1570,0,1.822,15.0,mww,146.9,yellow
169,6.9,7,7,1206,0,2.453,31.0,mww,21.0,green
170,8.2,5,4,1050,0,3.63,13.0,mww,600.0,green
171,6.5,5,3,743,0,2.719,23.0,mww,529.0,green
172,6.5,6,6,655,0,0.576,22.0,mww,33.94,green
173,6.9,9,8,1704,0,2.271,15.0,mww,34.0,orange
174,6.9,7,8,1392,63,0.11,210.0,mw,5.81,yellow
175,6.8,5,3,733,0,5.32,16.0,mww,559.0,green
176,6.9,9,6,741,0,1.487,18.0,mww,35.0,green
177,6.7,5,6,696,0,1.507,15.0,mww,40.0,green
178,6.8,6,6,719,0,1.049,16.0,mww,22.86,green
179,6.7,8,7,697,0,5.457,19.0,mww,20.48,green
180,7.5,9,8,943,0,5.48,17.0,mww,25.2,yellow
181,7.2,7,7,1384,0,0.142,82.0,mww,22.0,yellow
182,7.9,9,4,1870,0,2.586,30.0,mww,14.06,green
183,7.1,9,7,1075,0,4.29,23.0,mww,39.0,green
184,7.5,8,5,1623,0,4.582,12.0,mww,19.0,green
185,6.5,8,7,998,0,2.365,28.0,mww,90.0,green
186,6.5,1,5,651,0,17.66,23.0,mww,17.0,green
187,7.0,4,6,771,0,0.617,14.0,mww,10.0,green
188,6.6,4,5,676,0,0.529,21.0,mww,13.0,green
